time,PM1.0,PM2.5,PM10,temperature,gas,relative humility,pressure,altitude
1676678471,1,2,2,22.795234375,32748,16.967645088725853,1006.7092223414874,54.59931940169243
1676678472,1,1,1,22.798359375,32876,16.977508045051703,1006.7108812874172,54.58543493564318
1676678474,1,1,1,22.8012890625,32954,16.963101048301517,1006.7053380943048,54.631828489164995
1676678475,1,1,1,22.8034375,33320,16.95350721120716,1006.705403039191,54.63128493409746
1676678476,1,1,1,22.8055859375,33400,16.943914090068233,1006.7054679639629,54.63074154740834
1676678477,1,1,1,22.808515625,33587,16.924660656021373,1006.7033662921579,54.64833146552435
1676678478,0,0,0,22.811640625,33668,16.915119220594466,1006.7033042001855,54.64885114402826
1676678480,0,0,0,22.8137890625,34023,16.91522813097319,1006.6999273121801,54.67711403321797
1676678481,0,0,0,22.81671875,34051,16.900828107131947,1006.6995463541024,54.680302469494634
1676678482,0,0,0,22.819453125,34218,16.891268553898303,1006.7074509757225,54.61414478044613
1676678483,0,0,0,22.8223828125,34528,16.876871221923814,1006.7036282001516,54.64613942794632
1676678484,0,0,0,22.824140625,34728,16.872111990982233,1006.6996136088101,54.679739579794024
1676678486,0,0,0,22.82609375,34844,16.857667447101313,1006.7010804429644,54.667462887942804
1676678487,0,0,0,22.828828125,34931,16.84326406739709,1006.6934969367035,54.73093332069466
1676678488,0,0,0,22.8317578125,34989,16.84341203727925,1006.691394833853,54.74852701584293
1676678489,0,0,0,22.8329296875,35284,16.828931335597982,1006.6915865252042,54.74692264059349
1676678490,1,1,1,22.83546875,35313,16.809675717200705,1006.6940095789023,54.72664273087807
1676678492,1,1,1,22.8378125,35523,16.804948431486658,1006.6926720019889,54.7378376652827
1676678493,1,1,1,22.8411328125,35613,16.805115801204067,1006.6894863413731,54.76450030137391
1676678494,1,1,1,22.843671875,35857,16.79070843473064,1006.6867464974889,54.78743169404947
1676678495,1,1,1,22.8458203125,36011,16.790816654907765,1006.6868109799601,54.7868920010893
1676678496,1,1,1,22.8477734375,36166,16.77638137653535,1006.6882776354494,54.77461667817155
1676678498,1,1,1,22.849921875,36166,16.766801384744596,1006.6883420841592,54.77407726844069
1676678499,1,1,1,22.8528515625,36292,16.747574834921334,1006.6931234818356,54.73405897485955
1676678500,1,1,1,22.8544140625,36449,16.752496561290627,1006.6922316208892,54.74152346532611
1676678501,1,1,1,22.8559765625,36673,16.742888885423326,1006.696502670186,54.70577667817219
1676678502,1,1,1,22.8575390625,36737,16.728439542698347,1006.6990527501257,54.68443369933138
1676678504,1,1,1,22.860078125,36931,16.71888275727884,1006.6911497303914,54.75057842814855
1676678505,0,1,1,22.86203125,37160,16.709297277857655,1006.6908953162706,54.75270776715928
1676678506,0,1,1,22.8659375,37259,16.709493217019176,1006.6938284351837,54.72815882396268
1676678507,0,1,1,22.86828125,37293,16.690245940713453,1006.6976535002992,54.69614476185311
1676678508,0,1,1,22.8700390625,37426,16.680652796739672,1006.69019622734,54.75855884924242
